Ensembl.ID,Gene.name
ENSG00000013810.19_4,TACC3
ENSG00000014123.10_3,UFL1
ENSG00000014138.9_5,POLA2
ENSG00000014164.7_4,ZC3H3
ENSG00000014216.15_6,CAPN1
ENSG00000014257.16_3,ACP3
ENSG00000014641.20_6,MDH1
ENSG00000014824.14_4,SLC30A9
ENSG00000014914.21_4,MTMR11
ENSG00000014919.12_4,COX15
ENSG00000015133.19_4,CCDC88C
ENSG00000015153.14_4,YAF2
ENSG00000015171.19_3,ZMYND11
ENSG00000015285.11_3,WAS
ENSG00000015413.9_5,DPEP1
ENSG00000015475.18_5,BID
ENSG00000015479.19_7,MATR3
ENSG00000015520.14_6,NPC1L1
ENSG00000015532.10_3,XYLT2
ENSG00000015568.13_3,RGPD5
ENSG00000015592.16_4,STMN4
ENSG00000015676.18_4,NUDCD3
ENSG00000016082.15_3,ISL1
ENSG00000016391.11_6,CHDH
ENSG00000016402.13_4,IL20RA
ENSG00000016490.16_3,CLCA1
ENSG00000016602.9_3,CLCA4
ENSG00000016864.18_6,GLT8D1
ENSG00000017260.19_7,ATP2C1
ENSG00000017427.16_5,IGF1
ENSG00000017483.15_8,SLC38A5
ENSG00000017797.13_4,RALBP1
ENSG00000018189.13_4,RUFY3
ENSG00000018236.15_6,CNTN1
ENSG00000018280.17_3,SLC11A1
ENSG00000018408.14_4,WWTR1
ENSG00000018510.16_7,AGPS
ENSG00000018607.6_4,ZNF806
ENSG00000018610.14_4,CXorf56
ENSG00000018625.15_3,ATP1A2
ENSG00000018699.13_5,TTC27
ENSG00000018869.16_6,ZNF582
ENSG00000019102.12_4,VSIG2
ENSG00000019144.19_8,PHLDB1
ENSG00000019169.10_3,MARCO
ENSG00000019186.10_4,CYP24A1
ENSG00000019485.13_5,PRDM11
ENSG00000019505.8_5,SYT13
ENSG00000019549.13_7,SNAI2
ENSG00000019582.15_6,CD74
ENSG00000019991.18_7,HGF
ENSG00000019995.6_4,ZRANB1
ENSG00000020129.16_4,NCDN
ENSG00000020181.18_4,ADGRA2
ENSG00000020219.9_4,CCT8L1P
ENSG00000020256.20_5,ZFP64
ENSG00000020426.11_4,MNAT1
ENSG00000020577.14_4,SAMD4A
ENSG00000020633.18_3,RUNX3
ENSG00000020922.12_8,MRE11
ENSG00000021300.14_6,PLEKHB1
ENSG00000021355.13_4,SERPINB1
ENSG00000021461.16_2,CYP3A43
ENSG00000021488.13_4,SLC7A9
ENSG00000021574.12_6,SPAST
ENSG00000021645.19_6,NRXN3
ENSG00000021762.20_5,OSBPL5
ENSG00000021776.11_5,AQR
ENSG00000021826.17_6,CPS1
ENSG00000021852.13_5,C8B
ENSG00000022267.19_8,FHL1
ENSG00000022277.12_4,RTF2
ENSG00000022355.18_8,GABRA1
ENSG00000022556.16_7,NLRP2
ENSG00000022567.9_4,SLC45A4
ENSG00000022840.16_6,RNF10
ENSG00000022976.15_5,ZNF839
ENSG00000023041.11_5,ZDHHC6
ENSG00000023171.18_6,GRAMD1B
ENSG00000023191.17_4,RNH1
ENSG00000023228.14_6,NDUFS1
ENSG00000023287.13_7,RB1CC1
ENSG00000023318.8_5,ERP44
ENSG00000023330.15_3,ALAS1
ENSG00000023445.15_4,BIRC3
ENSG00000023516.9_3,AKAP11
ENSG00000023572.9_4,GLRX2
ENSG00000023608.5_4,SNAPC1
ENSG00000023697.13_5,DERA
ENSG00000023734.11_4,STRAP
ENSG00000023839.12_5,ABCC2
ENSG00000023892.11_3,DEF6
ENSG00000023902.14_4,PLEKHO1
ENSG00000023909.10_4,GCLM
ENSG00000024048.10_3,UBR2
ENSG00000024422.12_4,EHD2
ENSG00000024526.17_5,DEPDC1
ENSG00000024862.17_4,CCDC28A
ENSG00000025039.15_4,RRAGD
ENSG00000025156.13_6,HSF2
ENSG00000025293.17_4,PHF20
ENSG00000025423.11_4,HSD17B6
ENSG00000025434.19_5,NR1H3
ENSG00000025708.14_6,TYMP
ENSG00000025770.19_5,NCAPH2
ENSG00000025772.8_4,TOMM34
ENSG00000025796.14_4,SEC63
ENSG00000025800.14_4,KPNA6
ENSG00000026025.16_6,VIM
ENSG00000026036.22_4,RTEL1-TNFRSF6B
ENSG00000026103.22_4,FAS
ENSG00000026297.15_7,RNASET2
ENSG00000026508.19_8,CD44
ENSG00000026559.14_6,KCNG1
ENSG00000026652.15_6,AGPAT4
ENSG00000026751.17_4,SLAMF7
ENSG00000026950.17_5,BTN3A1
ENSG00000027001.10_5,MIPEP
ENSG00000027075.15_5,PRKCH
ENSG00000027644.5_4,INSRR
ENSG00000027697.14_7,IFNGR1
ENSG00000027847.14_4,B4GALT7
ENSG00000027869.11_4,SH2D2A
ENSG00000028116.17_4,VRK2
ENSG00000028137.19_4,TNFRSF1B
ENSG00000028203.18_4,VEZT
ENSG00000028277.21_6,POU2F2
ENSG00000028310.18_5,BRD9
ENSG00000028528.15_6,SNX1
ENSG00000028839.10_5,TBPL1
ENSG00000029153.14_6,ARNTL2
ENSG00000029363.17_8,BCLAF1
ENSG00000029364.12_3,SLC39A9
ENSG00000029534.20_8,ANK1
ENSG00000029559.7_3,IBSP
ENSG00000029639.11_4,TFB1M
ENSG00000029725.17_6,RABEP1
ENSG00000029993.15_7,HMGB3
ENSG00000030066.13_5,NUP160
ENSG00000030110.13_4,BAK1
ENSG00000030304.14_4,MUSK
ENSG00000030419.16_5,IKZF2
ENSG00000030582.18_4,GRN
ENSG00000031003.10_4,FAM13B
ENSG00000031081.11_5,ARHGAP31
ENSG00000031691.7_3,CENPQ
ENSG00000031698.13_4,SARS1
ENSG00000031823.14_5,RANBP3
ENSG00000032219.19_4,ARID4A
ENSG00000032389.12_9,EIPR1
ENSG00000032444.16_6,PNPLA6
ENSG00000032742.17_5,IFT88
ENSG00000033011.12_5,ALG1
ENSG00000033030.15_6,ZCCHC8
ENSG00000033050.9_5,ABCF2
ENSG00000033100.16_4,CHPF2
ENSG00000033122.20_7,LRRC7
ENSG00000033170.17_4,FUT8
ENSG00000033178.13_4,UBA6
ENSG00000033327.13_7,GAB2
ENSG00000033627.16_4,ATP6V0A1
ENSG00000033800.13_2,PIAS1
